Step,Value
474,-183.6532083
475,-178.7547292
476,-180.6718542
477,-186.2066042
478,-181.0466875
479,-176.768375
480,-178.2993125
481,-181.0294167
482,-181.2318542
483,-186.5944375
484,-184.2350208
485,-189.3484583
486,-189.1205208
487,-184.5531458
488,-184.360875
489,-188.5561042
490,-188.456375
491,-187.439625
492,-187.5931458
493,-187.4571042
494,-186.3704167
495,-183.5309167
496,-184.3160417
497,-181.8264167
498,-183.66375
499,-183.9408958
500,-184.4353542
501,-181.4047083
502,-181.6217083
503,-183.3058125
504,-182.2158125
505,-180.3770833
506,-181.1464167
507,-177.167375
508,-179.1876875
509,-180.4862083
510,-182.2896875
511,-182.0658125
512,-183.0414583
513,-179.4908542
514,-184.1617917
515,-183.4933542
516,-182.8730417
517,-181.9861458
518,-184.2026875
519,-182.2108125
520,-183.488625
521,-182.5528333
522,-183.7793333
523,-176.794625
524,-182.2075417
525,-180.9223958
526,-179.2629167
527,-181.8391042
528,-181.3143125
529,-183.2847292
530,-183.5988958
531,-181.869
532,-184.1270625
533,-179.6786458
534,-182.1022083
535,-184.1248125
536,-185.9803333
537,-184.5501458
538,-186.3076458
539,-185.4840208
540,-184.8867917
541,-184.8687708
542,-184.7909583
543,-184.9096458
544,-184.3185
545,-188.5519167
546,-189.1318333
547,-188.576625
548,-186.4716875
549,-184.516375
550,-184.3922292
551,-185.1941667
552,-187.0692083
553,-191.5778542
554,-188.0471667
555,-185.2855625
556,-187.3749583
557,-188.9490417
558,-180.2743125
559,-183.2172083
560,-182.9184375
561,-183.7506458
562,-182.2616667
563,-184.372125
564,-184.7757292
565,-187.4867292
566,-187.0242917
567,-184.0510833
568,-183.6780833
569,-183.4720208
570,-181.5895208
571,-181.3821875
572,-180.2979167
573,-182.822
574,-181.2946458
575,-184.15075
576,-188.5746042
577,-182.885
578,-187.6886042
579,-187.7208542
580,-178.1897917
581,-178.5847917
582,-181.6264375
583,-181.44375
584,-185.6918542
585,-179.8442083
586,-182.5571667
587,-183.7889792
588,-178.7571667
589,-184.361625
590,-187.7124167
591,-186.8284792
592,-187.0701458
593,-183.9493542
594,-184.9320625
595,-186.0585208
596,-188.8132917
597,-187.2950625
598,-186.3754792
599,-182.2137083
600,-183.7829792
601,-186.8418542
602,-186.7797292
603,-186.9268125
604,-188.4095
605,-184.9206042
606,-186.6559167
607,-187.2028125
608,-186.855
609,-185.6510625
610,-186.9879583
611,-188.5190208
612,-183.9796667
613,-186.9771042
614,-184.3644167
615,-182.5683125
616,-185.220125
617,-186.0537708
618,-184.9175625
619,-184.6999792
620,-183.0027083
621,-180.8304583
622,-180.9095208
623,-180.7560833
624,-182.8986667
625,-183.3145417
626,-181.9374583
627,-181.5395208
628,-182.8357083
629,-181.8715208
630,-182.701
631,-180.6898333
632,-184.2104167
633,-181.1935417
634,-177.6534375
635,-179.8487708
636,-183.7480417
637,-182.1642708
638,-185.2443125
639,-185.3934375
640,-187.684375
641,-185.0665
642,-184.6532917
643,-182.5728958
644,-186.1815208
645,-181.6903333
646,-186.5147292
647,-186.2153333
648,-187.4809375
649,-184.281
650,-185.06125
651,-183.443625
652,-187.3104375
653,-186.3259583
654,-189.6426042
655,-185.0394167
656,-187.3360417
657,-192.00125
658,-189.1911458
659,-187.5336875
660,-185.9229167
661,-183.57825
662,-182.1094375
663,-184.0901667
664,-184.8575208
665,-187.5937292
666,-184.3932083
667,-183.9035
668,-186.1191667
669,-182.1061667
670,-183.8697083
671,-184.3539583
672,-182.9975
673,-185.05425
674,-184.2551667
675,-185.6542083
676,-186.4857292
677,-185.3356458
678,-184.6835625
679,-184.3320625
680,-183.0947083
681,-185.7057708
682,-187.49125
683,-181.8470208
684,-182.4361458
685,-183.0854792
686,-180.2099583
687,-181.9229375
688,-181.0274792
689,-183.99225
690,-185.87325
691,-181.7855417
692,-184.769
693,-182.9087917
694,-180.1442708
695,-181.7794375
696,-180.1375833
697,-181.4170208
698,-181.1970833
699,-183.3443542
700,-179.2547292
701,-185.373875
702,-182.7669583
703,-187.6406667
704,-186.0310417
705,-186.5116458
706,-184.4336667
707,-184.1009792
708,-181.9504583
709,-183.6590417
710,-184.4770625
711,-186.6030625
712,-187.736
713,-185.9432708
714,-182.9264792
715,-183.135125
716,-191.253
717,-188.7924792
718,-186.6986875
719,-183.1216875
720,-183.9876458
721,-185.793625
722,-187.6381042
723,-186.7342917
724,-186.4613958
725,-183.9242292
726,-188.0812083
727,-185.4816042
728,-186.9114583
729,-189.1834792
730,-184.8318125
731,-186.2451667
732,-184.6454375
733,-181.8714583
734,-185.0425625
735,-184.7743125
736,-182.4605208
737,-183.7196458
738,-185.6224583
739,-180.7325
740,-184.3435208
741,-185.911125
742,-182.2116042
743,-185.0623542
744,-184.8008542
745,-178.865875
746,-177.8018125
747,-181.4385417
748,-180.6493958
749,-180.8417917
750,-182.6817083
751,-178.792875
752,-179.9061875
753,-182.90975
754,-184.303875
755,-185.3649583
756,-178.6061458
757,-188.6156042
758,-184.8874583
759,-188.2328333
760,-190.094
761,-183.6559792
762,-186.7392083
763,-185.1886875
764,-185.9116042
765,-185.4962917
766,-189.347375
767,-184.9938333
768,-185.3220208
769,-186.4362292
770,-183.7752292
771,-184.1036875
772,-180.3652083
773,-180.5500625
774,-178.8116667
775,-183.1926458
776,-181.3355625
777,-180.7858958
778,-178.9514167
779,-177.4390625
780,-176.5051458
781,-176.9522708
782,-180.9160208
783,-181.8150625
784,-185.60375
785,-179.8695833
786,-179.7543958
787,-182.1252083
788,-184.2918958
789,-181.7505208
790,-180.532
791,-187.24575
792,-182.3782708
793,-182.0296875
794,-183.3630833
795,-182.4489375
796,-181.3321875
797,-183.8767917
798,-180.9211458
799,-183.8447917
800,-183.5849792
801,-189.4988125
802,-185.2638125
803,-184.36475
804,-188.6520625
805,-186.2216667
806,-185.6146458
807,-182.91375
808,-181.4791667
809,-182.008
810,-179.9899375
811,-186.8359375
812,-182.4642917
813,-180.5104167
814,-182.9091875
815,-183.8225625
816,-183.4907708
817,-182.3459167
818,-182.6305833
819,-187.4573125
820,-181.119
821,-179.9248125
822,-181.125
823,-184.5447083
824,-183.65025
825,-181.9366042
826,-183.4811042
827,-183.5640625
828,-188.6880833
829,-183.5368958
830,-183.3616458
831,-183.1421875
832,-185.9211458
833,-188.8449792
834,-188.5182083
835,-187.5092917
836,-187.0217292
837,-186.7033542
838,-181.5180625
839,-183.3278333
840,-182.653375
841,-182.001625
842,-187.3318958
843,-189.3631458
844,-191.7246667
845,-192.4064167
846,-188.7874583
847,-186.0627708
848,-184.4981667
849,-182.5851667
850,-181.5200833
851,-184.0263542
852,-182.2982917
853,-181.6327708
854,-183.4529583
855,-182.529875
856,-185.2379167
857,-184.2145417
858,-180.8955625
859,-181.8540208
860,-182.0083125
861,-181.512375
862,-187.0298958
863,-189.6426458
864,-188.9806875
865,-192.8799792
866,-188.5212083
867,-186.0474792
868,-180.4608542
869,-182.1693958
870,-184.3965833
871,-184.0991667
872,-184.1101667
873,-185.9566458
874,-186.3383125
875,-189.3865417
876,-187.2623958
877,-185.0726875
878,-184.1743958
879,-179.4066458
880,-180.9735833
881,-177.648
882,-179.6113125
883,-179.138
884,-177.1764583
885,-181.3461042
886,-184.3106042
887,-181.6357917
888,-184.6388958
889,-185.8286875
890,-184.0302083
891,-187.9286667
892,-187.8585417
893,-185.0800833
894,-186.0092917
895,-184.7278542
896,-182.8995625
897,-186.8606042
898,-185.3392292
899,-189.49325
900,-193.2245
901,-182.9303125
902,-186.2431042
903,-182.8840208
904,-183.816375
905,-185.4330833
906,-182.8668958
907,-182.9861458
908,-185.0723333
909,-183.2706042
910,-182.3044167
911,-179.8949167
912,-182.7210625
913,-185.8288542
914,-183.7071667
915,-179.5382292
916,-181.9628125
917,-182.8570417
918,-184.3271667
919,-183.4564792
920,-182.7205833
921,-184.0179375
922,-188.108125
923,-186.7078333
924,-186.5693958
925,-185.8397083
926,-186.7036667
927,-183.1852917
928,-185.28075
929,-185.1438333
930,-182.5903333
931,-182.6655833
932,-179.8070625
933,-184.0822083
934,-185.4065417
935,-185.5547708
936,-181.1591667
937,-180.1973542
938,-180.062625
