Wall time,Step,Value
1740468441.6464982,868,-104.07250213623047
1740468465.5234447,869,-99.90374755859375
1740468475.3677747,870,-100.16625213623047
1740468498.4978256,871,-99.83374786376953
1740468585.376798,876,-104.41124725341797
1740468786.9913707,888,-99.84124755859375
1740468808.5989957,889,-100.03624725341797
1740468841.324176,891,-99.97125244140625
1740468872.3577552,893,-99.38999938964844
1740468879.66673,893,-129.7725067138672
1740468940.9638247,897,-99.78125
1740469051.2085712,903,-99.91124725341797
1740469095.2994552,906,-100.05500030517578
1740469199.374361,913,-99.69000244140625
1740469199.88565,913,-100.25749969482422
1740469310.5546107,920,-108.36499786376953
1740469407.360611,926,-104.35749816894531
1740469411.0887322,926,-100.0562515258789
1740469507.5908043,932,-104.77041625976562
1740469596.1745698,938,-99.87000274658203
1740469630.0966737,940,-99.8637466430664
1740469662.3741412,942,-103.63999938964844
1740469716.025209,946,-128.8350067138672
1740469757.5236955,949,-109.32250213623047
1740469834.4055743,954,-99.7437515258789
1740470021.2574446,966,-100.6312484741211
1740470029.4067028,967,-129.6024932861328
1740470103.656741,971,-104.31375122070312
1740470115.9516742,972,-99.43624877929688
1740470169.334701,975,-99.55750274658203
1740470177.858183,976,-104.17749786376953
1740470240.571797,980,-105.05999755859375
1740470257.1725714,981,-104.7874984741211
1740470314.1403315,985,-100.20375061035156
1740470345.2997708,986,-104.31124877929688
1740470389.4678993,987,-103.94625091552734
1740470430.5791242,989,-99.76374816894531
1740470487.1448953,991,-99.74874877929688
1740470506.4252367,991,-99.58999633789062
1740470520.957286,992,-99.85874938964844
1740470524.2704298,992,-99.6812515258789
1740470641.8702388,996,-99.21624755859375
1740470642.995325,996,-99.99124908447266
1740470713.4646988,998,-99.52625274658203
1740470763.7166831,1000,-99.70625305175781
1740470802.7362394,1001,-100.35624694824219
1740470806.044084,1001,-99.64624786376953
1740470811.6348317,1001,-99.58625030517578
1740470921.7498584,1005,-100.12999725341797
1740470941.9233315,1006,-99.40750122070312
1740471012.312465,1008,-99.42874908447266
1740471099.5454326,1011,-99.74124908447266
1740471164.8752675,1013,-99.5250015258789
1740471225.9885335,1015,-99.52375030517578
1740471248.060452,1016,-99.6362533569336
1740471249.2429276,1016,-99.53874969482422
1740471281.2814527,1017,-99.4312515258789
1740471306.9037778,1018,-99.64375305175781
1740471471.467834,1023,-99.76625061035156
1740471502.5328903,1024,-99.76625061035156
1740471611.143378,1028,-99.4312515258789
1740471614.4706166,1028,-100.06375122070312
1740471615.507306,1028,-99.4312515258789
1740471684.0553064,1030,-99.40625
1740471727.225576,1032,-99.40625
1740471953.550955,1038,-104.63999938964844
1740472105.8414197,1043,-100.17124938964844
1740472205.2012744,1046,-133.64125061035156
1740472306.5933669,1049,-100.35749816894531
1740472340.4418275,1050,-104.25
1740472484.9464374,1055,-100.17375183105469
1740472488.3635397,1055,-99.53874969482422
1740472494.183815,1055,-99.4312515258789
1740472600.815265,1058,-99.5625
1740472632.5969737,1059,-99.70625305175781
1740472756.6079109,1063,-104.4437484741211
1740472820.3749375,1065,-99.66874694824219
1740473090.1248014,1073,-99.35375213623047
1740473163.5289583,1075,-100.13874816894531
1740473286.7599933,1079,-99.50749969482422
1740473331.0051851,1080,-99.5999984741211
1740473364.5352738,1081,-104.48750305175781
1740473371.3920732,1081,-99.3949966430664
1740473643.2746103,1089,-104.44750213623047
1740474052.6827374,1101,-103.72750091552734
1740474076.5007062,1102,-100.02874755859375
1740474128.863101,1103,-99.35624694824219
1740474198.9159963,1105,-103.95249938964844
1740474249.4012809,1107,-99.35624694824219
1740474439.8446484,1112,-99.62999725341797
1740474504.0485964,1114,-103.61499786376953
1740474564.502182,1116,-99.35624694824219
1740474713.5984085,1120,-104.13749694824219
1740474944.6265981,1127,-99.35624694824219
1740475075.1226013,1131,-99.35624694824219
1740475227.2658386,1135,-132.8249969482422
1740475230.9566848,1135,-132.8249969482422
1740475494.2870886,1143,-99.4175033569336
1740475591.3720608,1146,-99.3375015258789
1740475603.5764592,1146,-99.35624694824219
1740475665.7107224,1148,-103.91000366210938
1740475676.9850664,1148,-104.13749694824219
1740475725.554242,1150,-99.35624694824219
1740475802.9522357,1152,-99.35624694824219
1740475841.926357,1153,-99.35624694824219
1740475976.371697,1157,-99.35624694824219
1740476009.7822201,1158,-104.13749694824219
1740476089.4732008,1160,-104.32250213623047
1740476285.4716623,1166,-99.35624694824219
1740476370.2514348,1168,-99.35624694824219
1740476504.4737852,1172,-99.35624694824219
1740476527.472527,1173,-99.35624694824219
1740476562.1848376,1174,-99.2125015258789
1740476684.9279134,1177,-99.35624694824219
1740476786.7974646,1180,-99.35624694824219
1740476973.0810513,1186,-103.90750122070312
1740477212.931682,1193,-99.7437515258789
1740477279.1454437,1195,-99.32875061035156
1740477322.7019143,1196,-99.57749938964844
1740477473.309182,1200,-99.5062484741211
1740477563.387183,1203,-99.35624694824219
1740477565.633805,1203,-99.35624694824219
1740477628.6282427,1205,-99.28624725341797
1740477669.4837842,1206,-99.28624725341797
1740477793.760583,1210,-99.70874786376953
1740478030.850609,1217,-99.5062484741211
1740478140.2810578,1220,-128.50375366210938
1740478311.1795235,1225,-99.35624694824219
1740478320.7354288,1225,-99.60749816894531
1740478623.571502,1234,-99.5062484741211
1740478687.478417,1236,-104.01000213623047
1740478804.3441422,1239,-99.40625
1740478871.0120742,1241,-99.5062484741211
1740479025.5771909,1246,-104.50499725341797
1740479183.8268628,1250,-99.5062484741211
1740479208.478631,1251,-103.8499984741211
1740479218.63324,1251,-99.5062484741211
1740479359.3280518,1255,-99.80374908447266
1740479458.9710538,1258,-104.01374816894531
1740479638.318294,1264,-99.68374633789062
1740479666.3811154,1265,-99.2249984741211
1740479793.47464,1269,-99.2125015258789
1740479931.2909112,1273,-99.22624969482422
1740480143.6346354,1279,-157.72874450683594
1740480208.6906683,1281,-103.7437515258789
1740480337.316561,1285,-99.22624969482422
1740480550.336218,1291,-99.32749938964844
1740480583.2368522,1292,-104.16374969482422
1740480627.6436477,1293,-99.2249984741211
1740480736.3224752,1296,-99.40750122070312
1740480765.7375593,1297,-128.94375610351562
1740480973.4045622,1303,-99.09124755859375
1740480996.1458895,1304,-99.22624969482422
1740481172.884518,1309,-99.45375061035156
1740481282.3908484,1312,-105.81124877929688
1740481627.1175237,1322,-99.40750122070312
1740481836.8666244,1328,-99.15750122070312
1740481838.1007388,1328,-133.4637451171875
1740481894.1536286,1330,-99.15750122070312
1740481897.052749,1330,-133.0362548828125
1740482064.9857352,1335,-99.15750122070312
1740482428.6457763,1346,-99.15750122070312
1740482435.310834,1346,-99.15750122070312
1740482442.1238582,1346,-99.30999755859375
1740482446.6827555,1346,-99.15750122070312
1740482447.7890527,1346,-99.15750122070312
1740482648.9817905,1352,-103.97125244140625
1740483038.2797706,1363,-99.15750122070312
1740483212.0025725,1368,-99.15750122070312
1740483234.3726037,1369,-99.15750122070312
1740483242.529863,1369,-99.15750122070312
1740483273.0418177,1370,-99.15750122070312
1740483447.9448092,1375,-99.15750122070312
1740483591.0907054,1379,-99.15750122070312
1740483748.673948,1384,-99.13500213623047
1740483751.5196664,1384,-99.15625
1740483814.0109637,1386,-99.15625
1740483836.7911377,1386,-99.96499633789062
1740484328.7106817,1400,-113.13375091552734
1740484374.591785,1401,-103.5875015258789
1740484445.0854092,1403,-103.5425033569336
1740484652.2477312,1409,-99.15750122070312
1740484677.639998,1410,-104.42250061035156
1740484827.6061158,1414,-99.39375305175781
1740484880.7338908,1416,-108.74874877929688
1740484940.6845405,1417,-109.0562515258789
1740485556.6003072,1434,-128.83375549316406
1740485595.7631094,1435,-99.6050033569336
1740485640.4800127,1437,-99.28500366210938
1740485664.6011689,1437,-128.8074951171875
1740485715.062402,1439,-99.15750122070312
1740485733.736924,1439,-99.14749908447266
1740485758.9324362,1440,-99.21499633789062
1740485919.771403,1445,-99.32749938964844
1740485973.8138936,1448,-99.37124633789062
1740486156.8306725,1459,-99.25875091552734
1740486161.0551198,1459,-99.24500274658203
